annotation_id,label_studio_path,extracted_original,matched_file,choice,match_found
1,/data/upload/1/d78d3c22-fridge_e_3.jpeg,fridge e 3.jpeg,fridge e 3.jpeg,empty,True
2,/data/upload/1/85d7afee-fridge_half_21.jpeg,fridge half 21.jpeg,fridge half 21.jpeg,half-full,True
3,/data/upload/1/bfd3efe0-fridge_half_20.jpeg,fridge half 20.jpeg,fridge half 20.jpeg,half-full,True
4,/data/upload/1/ed708d95-fridge_e_2.jpeg,fridge e 2.jpeg,fridge e 2.jpeg,empty,True
5,/data/upload/1/e079feac-fridge_e.jpeg,fridge e.jpeg,fridge e.jpeg,empty,True
6,/data/upload/1/843bfb66-fridge_half_19.jpeg,fridge half 19.jpeg,fridge half 19.jpeg,half-full,True
7,/data/upload/1/e264f8e2-fridge_half_18.jpeg,fridge half 18.jpeg,fridge half 18.jpeg,half-full,True
8,/data/upload/1/7cb6af4e-fridge_half_17.jpeg,fridge half 17.jpeg,fridge half 17.jpeg,half-full,True
9,/data/upload/1/d0a3aaa5-fridge_half_16.jpeg,fridge half 16.jpeg,fridge half 16.jpeg,full,True
10,/data/upload/1/89f0b0c9-fridge_half_15.jpeg,fridge half 15.jpeg,fridge half 15.jpeg,half-full,True
11,/data/upload/1/aeb97b6f-fridge_half_14.jpeg,fridge half 14.jpeg,fridge half 14.jpeg,half-full,True
12,/data/upload/1/663b0c80-fridge_half_13.jpeg,fridge half 13.jpeg,fridge half 13.jpeg,half-full,True
13,/data/upload/1/60290737-fridge_half_12.jpeg,fridge half 12.jpeg,fridge half 12.jpeg,half-full,True
14,/data/upload/1/ef486f32-fridge_half_11.jpeg,fridge half 11.jpeg,fridge half 11.jpeg,half-full,True
15,/data/upload/1/78b35dcb-fridge_half_10.jpeg,fridge half 10.jpeg,fridge half 10.jpeg,half-full,True
16,/data/upload/1/d9ca61b3-fridge_half_9.jpeg,fridge half 9.jpeg,fridge half 9.jpeg,half-full,True
17,/data/upload/1/c77c3717-fridge_half_8.jpeg,fridge half 8.jpeg,fridge half 8.jpeg,half-full,True
18,/data/upload/1/139fb11f-fridge_half_7.jpeg,fridge half 7.jpeg,fridge half 7.jpeg,half-full,True
19,/data/upload/1/8671c3ee-fridge_half_6.jpeg,fridge half 6.jpeg,fridge half 6.jpeg,half-full,True
20,/data/upload/1/d3fd2388-fridge_half_5.jpeg,fridge half 5.jpeg,fridge half 5.jpeg,half-full,True
21,/data/upload/1/d1e79a13-fridge_half_4.jpeg,fridge half 4.jpeg,fridge half 4.jpeg,half-full,True
22,/data/upload/1/32d1f996-fridge_half_3.jpeg,fridge half 3.jpeg,fridge half 3.jpeg,half-full,True
23,/data/upload/1/a390a616-fridge_half_2.jpeg,fridge half 2.jpeg,fridge half 2.jpeg,half-full,True
24,/data/upload/1/54ac35b0-5990120605_9140599c06_b.jpg,5990120605 9140599c06 b.jpg,,half-full,False
25,/data/upload/1/a1e7f80b-fridge_half.jpeg,fridge half.jpeg,fridge half.jpeg,half-full,True
26,/data/upload/1/944aed6f-1abc76e0-a3d3-474b-ab6b-2046feb0e5cb.jpeg,1abc76e0-a3d3-474b-ab6b-2046feb0e5cb.jpeg,1abc76e0-a3d3-474b-ab6b-2046feb0e5cb.jpeg,full,True
27,/data/upload/1/fb3cc2ae-Love_the_HUGE_frost-free_refrigerator_.jpeg,Love the HUGE frost-free refrigerator .jpeg,,empty,False
28,/data/upload/1/e911fbd2-Office_fridge_in_the_morning_.jpeg,Office fridge in the morning .jpeg,,empty,False
29,/data/upload/1/49125e5e-9b7d961c-8cfd-432a-b659-0dfdbb0bc9a5.jpeg,9b7d961c-8cfd-432a-b659-0dfdbb0bc9a5.jpeg,9b7d961c-8cfd-432a-b659-0dfdbb0bc9a5.jpeg,full,True
